PostNumber,PostLink,Title,Author,Total_Replies,Total_Weight,Symptom,Treatment,Bodypart
65,https://patient.info//forums/discuss/did-anyone-experience-these-symptoms-while-infected--753425,masks: how do you encourage people that they help?,tjdog @tjdog,96,4800.769231,"[""Little's Disease"", 'Diarrhea', 'Vomiting', 'BODY PAIN', 'Posterior rhinorrhea', 'Fatigue', 'Burning sensation', 'Headache', 'Throat irritation', 'Pain', 'Nasal congestion (finding)', 'Nausea', 'Has tingling sensation', 'Coughing', None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Injection of therapeutic agent', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
66,https://patient.info//forums/discuss/covid-advice-work-related-help-please-753593,hearing loss after covid,heatnor @heatnor,32,1600.757576,"['Testicular regression syndrome', None]","[None, 'Isolation procedure']",[None]
67,https://patient.info//forums/discuss/covid-please-help-753502,"common symptoms, no cough",daphne47 @daphne47,16,800.7462687,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', None, None]","[None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
68,https://patient.info//forums/discuss/covid-752791,my boss spread covid-19 intentionally,blueraven @blueraven,18,900.7352941,"['Gonorrhea', 'Geroderma osteodysplastica', 'Common Cold', 'Influenza', 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Acute gastroenteritis', 'Disease', 'Anosmia', 'Signs and Symptoms', 'Coughing', None, None, None]","[None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
69,https://patient.info//forums/discuss/covid-19-day-12-and-still-having-a-fever-753343,grandmas and grandpas...opportunity knocks! ideas during covid,"chris trout, volunteer mentor @artscaping",124,6200.724638,"['Gonorrhea', 'Geroderma osteodysplastica', 'Acute gastroenteritis', 'Coughing', 'Dyspnea']","[None, None, None, None, None]",['Dyspnea']
70,https://patient.info//forums/discuss/covid-vaccination-and-alcohol-753382,covid and the end of daylight savings time,"merry, volunteer mentor @merpreb",48,2400.714286,"[None, None]","['cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Vaccination']",[None]
71,https://patient.info//forums/discuss/preventing-covid-19-separation-not-just-isolation-753341,who can visit a patient during covid 19 times?,vanessag @vanessag,6,300.7042254,"['Gonorrhea', 'Geroderma osteodysplastica', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Gray Platelet Syndrome', None, None, None, None]","[None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', 'Exercise Pain Management', None]",[None]
72,https://patient.info//forums/discuss/lack-of-information-from-the-government-and-the-nhs-753261,best and worst masks covid-19,cindiwass @cindiwass,82,4100.694444,"['Testicular regression syndrome', None]","[None, 'Etoposide/Ifosfamide/Mesna/Mitoxantrone']",[None]
73,https://patient.info//forums/discuss/wrong-covid-vaccination-group-753250,tested negative twice for covid,ihatediabetes @ihatediabetes,14,700.6849315,"['Rheumatoid Arthritis', 'Duane Retraction Syndrome', 'Pneumonia', 'Bronchitis', 'Diabetic Retinopathy', 'Acute gastroenteritis', 'Gray Platelet Syndrome', None, None, None]","[None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Vaccination', None]",[None]
74,https://patient.info//forums/discuss/no-taste-or-smell-update--753132,our 10 yr old was just diagnosed with covid-19,fiesty76 @fiesty76,84,4200.675676,"['Nail-Patella Syndrome', ""Little's Disease"", 'Carpal Tunnel Syndrome', 'Coronavirus Infections', 'Sympathetically independent pain', 'Nervousness', None, None, None, None]","[None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
75,https://patient.info//forums/discuss/a-symptomatic-people-753107,monthly coronavirus statistics worldwide and in usa,don higgins @dsh33782,8,400.6666667,"['Asthma', 'Coronavirus Infections', 'Multiple Sclerosis', 'Catch - Finding of sensory dimension of pain', None, None, None]","[None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
76,https://patient.info//forums/discuss/covid-and-strange-feeling-in-arms-and-legs--752983,food shelf frenzy,ihatediabetes @ihatediabetes,8,400.6578947,"['Arthralgia', 'Asthenia', None]","[None, None, None]",[None]
77,https://patient.info//forums/discuss/contact-worry-752963,covid-19 long haulers: symptoms lasting 30 days plus,lmspencerpac @lmspencerpac,32,1600.649351,"['Gonorrhea', 'Geroderma osteodysplastica', 'Coronavirus Infections', None, None]","[None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
78,https://patient.info//forums/discuss/covid-19-752939,how to stay up to date with comments particularly relevant for oneself,barbb @barbb,16,800.6410256,"['Actual Inability To Taste', 'Productive cough', 'BODY PAIN', None, None, None]","[None, None, None, 'Single Embryo Transfer', 'Physical therapy exercises', None]",[None]
79,https://patient.info//forums/discuss/covid-experience-loss-of-smell-752930,donating blood during covid-19,schlegdiesel @schlegdiesel,38,1900.632911,"['PREMATURE CHROMATID SEPARATION TRAIT', 'Anosmia', None, None]","[None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
80,https://patient.info//forums/discuss/covid-guilt-at-passing-it-on--752614,heard something about covid and reinfection,cindiwass @cindiwass,36,1800.625,"['Lung Diseases, Obstructive', None, None, None, None]","[None, 'Single Embryo Transfer', 'Quarantine', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
81,https://patient.info//forums/discuss/does-this-sound-like-covid-752762,isolation: how do we handle it?,"teresa, volunteer mentor @hopeful33250",300,15000.61728,"['Gonorrhea', 'Geroderma osteodysplastica', 'Coughing', None, None]","[None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol']",[None]
82,https://patient.info//forums/discuss/please-i-need-reassurance-or-anything-752738,covid: july and still no decisions about public schools reopening,fiesty76 @fiesty76,30,1500.609756,"['Gonorrhea', 'Geroderma osteodysplastica', ""Little's Disease"", 'Common Cold', 'Papillon-Lefevre Disease', 'Coronavirus Infections', 'Disease', None, None, None]","[None, None, None, None, None, None, None, 'Meditation Therapy', 'Group reassurance', 'Bathing']",[None]
83,https://patient.info//forums/discuss/i-tested-positive-for-covid-please-help-752696,covid-19 testing: how are the data calculated?,tjdog @tjdog,22,1100.60241,"['Lung Diseases, Obstructive', 'Nausea', 'Coughing', 'Mastodynia', 'Sore to touch', None]","[None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
84,https://patient.info//forums/discuss/taking-a-leave-of-absence-from-work-causes-firing-to-happen--752679,grief in the time of covid-19,fiesty76 @fiesty76,52,2600.595238,"['Hypertensive disease', 'Diabetes Mellitus', 'Coffin-Siris syndrome', 'Disease', None]","[None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
85,https://patient.info//forums/discuss/help-could-i-have-been-exposed-to-covid--752659,lung lavage,craigm1209 @craigm1209,2,100.5882353,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Premenstrual syndrome', 'Lung Diseases, Obstructive', 'Acute gastroenteritis', 'Seizures', 'Mass of body region', 'Coughing', None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Incision and drainage', None, None]",[None]
86,https://patient.info//forums/discuss/loss-of-smell-and-taste-752616,covid-19: what does it mean for people in icu and for families?,"rosemary, volunteer mentor @rosemarya",156,7800.581395,"['Hypotrichosis simplex', None, None]","[None, 'Modest-Temperature Hyperthermia', None]",[None]
87,https://patient.info//forums/discuss/covid-self-isolating-employer-being-awkward-750338,covid-19 and cancer: how are you preparing for the re-opening?,"merry, volunteer mentor @merpreb",28,1400.574713,"['Gonorrhea', 'Geroderma osteodysplastica', 'Lung Diseases, Obstructive', None, None, None]","[None, None, None, 'Isolation procedure', 'Orthokeratology', None]",[None]
88,https://patient.info//forums/discuss/should-i-isolate--752535,blood types and covid-19,jack32 @jack32,92,4600.568182,"['Gonorrhea', 'Geroderma osteodysplastica', 'Testicular regression syndrome', None, None, None, None]","[None, None, None, 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
89,https://patient.info//forums/discuss/support-bubbl-752028,confused about covid-19 symptom progression,mkqq @mkqq,36,1800.561798,"['Gonorrhea', 'Geroderma osteodysplastica', None]","[None, None, None]",[None]
90,https://patient.info//forums/discuss/chest-pressure-752388,life is an adventure - how to keep it up with covid-19?,"sue, volunteer mentor @sueinmn",48,2400.555556,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', ""Little's Disease"", 'SHORT STATURE, IDIOPATHIC, X-LINKED', 'Lung Diseases, Obstructive', 'Anosmia', 'Dry cough', 'Chest pressure', None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Venom immunotherapy', 'Rx therapy', None, None]",[None]
91,https://patient.info//forums/discuss/is-visiting-family-for-christmas-risky--751561,confused about covid-19 symptom progression,mkqq @mkqq,36,1800.549451,"['Hypertensive disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Diabetes Mellitus', 'Chronic Obstructive Airway Disease', 'Congestive heart failure', 'Disease', None, None, None, None, None, None]","[None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Anterior decompression of shoulder joint', 'cyclophosphamide/fluorouracil/methotrexate/vincristine protocol', 'Isolation procedure', 'bleomycin/methotrexate/vincristine protocol', None]",[None]
92,https://patient.info//forums/discuss/day-9-with-covid-and-i-can-not-stop-sweating--751791,life is an adventure - how to keep it up with covid-19?,"sue, volunteer mentor @sueinmn",48,2400.543478,"['slight fever', None]","[None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
93,https://patient.info//forums/discuss/-could-these-symptoms-be-long-covid-752083,"covid-19, the fear of the flu",mgmolly @erinmfs,100,5000.537634,"['Gonorrhea', 'Geroderma osteodysplastica', 'Common Cold', 'Reflex Sympathetic Dystrophy', 'Motion Sickness', 'Rhinorrhea', 'Throat symptom', 'Coughing', 'Nose symptoms', None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Excision of axillary lymph nodes', 'bleomycin/methotrexate/vincristine protocol', None, None, None]",[None]
94,https://patient.info//forums/discuss/recently-diagnosed--752061,covid-19 and addiction recovery: the importance of staying social,"teresa, volunteer mentor @hopeful33250",4,200.5319149,"['Migraine Disorders', 'Gonorrhea', 'Geroderma osteodysplastica', 'Influenza', 'Coughing', None, None, None, None]","[None, None, None, None, None, 'Meditation Therapy', 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None]",[None]
95,https://patient.info//forums/discuss/maybe-a-weird-question-but-can-covid-have-std-like-symptoms--752059,where to get testing az for out-of-state person needing to travel?,cvanrip @cvanrip,8,400.5263158,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sexually Transmitted Diseases', 'Pharyngitis', 'Influenza', 'PREMATURE CHROMATID SEPARATION TRAIT', 'Coronavirus Infections', 'Disease', 'Ache', 'BODY PAIN', 'Fatigue', 'Sore Throat', 'Pain of lymph node', 'Pain', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Injection of therapeutic agent', None, None, None, None, None]",[None]
96,https://patient.info//forums/discuss/mild-covid-19-symptoms-will-they-get-worse-i-m-on-day-5--751549,"taking our minds off things, what are you watching??",januaryjane @januaryjane,154,7700.520833,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pharyngitis', 'Nasal congestion (finding)', 'BODY PAIN', 'Signs and Symptoms', 'Fatigue', 'Pain in right hand', 'Sore Throat', 'Headache', None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Orthokeratology', 'Therapeutic procedure', None, None, None]",[None]
97,https://patient.info//forums/discuss/covid-symptoms-dragging-on-752041,literally caught with my pants down! being prepared & covid,fiesty76 @fiesty76,52,2600.515464,"[""Little's Disease"", 'Tonsillitis', 'Anosmia', 'Nasal congestion (finding)', 'Chest Pain', 'Upset stomach', 'Sore Throat', 'Dizziness', 'Headache', 'Chest pressure', 'Dyspnea', None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
98,https://patient.info//forums/discuss/carl-vernon-youtube-channel-751839,sending covid patients to nursing homes in minnesota,ihatediabetes @ihatediabetes,30,1500.510204,"['Gonorrhea', 'Geroderma osteodysplastica', 'sick to stomach', None, None]","[None, None, None, 'Division (surgical procedure)', None]",[None]
99,https://patient.info//forums/discuss/covid-vaccine-and-immunity-751715,"testing, antibodies & convalescent plasma as treatment option?",jdlogan65 @jdlogan65,34,1700.505051,"['Gonorrhea', 'Geroderma osteodysplastica', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', None, None, None, None, None]","[None, None, None, 'Modest-Temperature Hyperthermia', 'Booster', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', None]",[None]
100,https://patient.info//forums/discuss/covid-19-symptoms-fever-751514,how to manage depression during covid19 age?,aliali @aliali,66,3300.5,"['Eye Infections', 'Tired', 'Headache']","[None, None, None]",['Headache']
101,https://patient.info//forums/discuss/digestion-symptoms-751493,distancing at home,ozma @ozma,46,2300.49505,"['Lung Diseases, Obstructive', 'Diarrhea', 'Myalgia']","[None, None, None]",['Myalgia']
102,https://patient.info//forums/discuss/covid-19-prolonged-fever-735964,pregnant and worried,pregnant worried,1,100,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sinusitis', ""Little's Disease"", 'Reflex Sympathetic Dystrophy', 'Headache', 'Coughing', 'Pain', None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, 'Percutaneous Coronary Intervention', 'Meditation Therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'Trans-hiatal esophagectomy', None, None, None, None, None, None]",[None]
103,https://patient.info//forums/discuss/still-got-a-fever-i-do--740453,supports for parents/caregivers,boymom 18,3,175,"['Gonorrhea', 'Geroderma osteodysplastica', 'Occipital Lobe Epilepsy', 'Sexually Transmitted Diseases', 'Pelvic Organ Prolapse', 'Chronic Obstructive Airway Disease', 'Reflex Sympathetic Dystrophy', 'Myasthenia Gravis, Ocular', 'Nasal congestion (finding)', 'BODY PAIN', 'Pain, Postoperative', 'Fatigue', 'Burning sensation', 'Headache', None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Single Embryo Transfer', 'Anterior decompression of shoulder joint', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', None, None, None, None, None]",[None]
104,https://patient.info//forums/discuss/fever-in-mild-cases-of-covid-19-741805,worried about going outside when i need to run errands,notjessica jones,2,116.6666667,"['Alcoholic ketoacidosis', 'Sinusitis', 'Gonorrhea', 'Geroderma osteodysplastica', 'Multi-infarct dementia', ""Little's Disease"", 'Hypercholesterolemia', 'Dental caries', 'Temporal headache', 'Coughing', 'Asthenia', None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, 'Amputation above-knee (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None, None]",[None]
105,https://patient.info//forums/discuss/covid-and-relentless-low-grade-fever-anyone--751466,talking to family/friends about social distancing,golden 001,2,112.5,"['Gonorrhea', 'Geroderma osteodysplastica', 'Sinusitis', 'Coffin-Siris syndrome', 'Reflex Sympathetic Dystrophy', 'Temporal headache', 'Burning sensation', 'Headache', 'Coughing', None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'Excision of axillary lymph nodes', None, None, None, None]",[None]
106,https://patient.info//forums/discuss/gastric-symptoms-covid-19-741189,stressed about going to work,dreamer 85,1,60,"['Gonorrhea', 'Geroderma osteodysplastica', 'Idiopathic Multicentric Osteolyses', 'Pharyngitis', 'Common Cold', 'Reflex Sympathetic Dystrophy', 'Lung diseases', 'Seizures', 'Diarrhea', 'Ache', 'BODY PAIN', 'Headache Severe', 'Abdominal Pain', 'Severe diarrhea', 'Upset stomach', 'Fatigue', 'Headache', 'Muscle Cramp', 'Pain', 'Stomach ache', 'gastrointestinal gas', 'Diarrhea, watery', 'Nausea', 'Hunger', 'Abdominal bloating', 'Sore Throat', 'Dizziness', 'Digestive symptom', 'Coughing', 'Chills', None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Treated with', 'Immobilization', 'Induced abortion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', 'bleomycin/methotrexate/vincristine protocol', None, None, None, None]",[None]
107,https://patient.info//forums/discuss/work-travel-question-can-you-have-the-pfizer-moderna-vaccine-if-you-ve-had-the-astrazeneca-before--751342,family workspace stress,at home,5,258.3333333,"['Lung Diseases, Obstructive', 'Acute gastroenteritis', None, None, None, None, None, None]","[None, None, 'Modest-Temperature Hyperthermia', 'Childhood Immunization', 'Injection of therapeutic agent', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'bleomycin/methotrexate/vincristine protocol', None]",[None]
108,https://patient.info//forums/discuss/covid-app-alert-751311,getting through,chocolate chip,2,107.1428571,"[None, None, None]","['cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Isolation procedure', None]",[None]
109,https://patient.info//forums/discuss/wk-3-racing-heart-and-pins-and-needles--750502,effects of social/physical-distancing on mood,alone worried,6,306.25,"['Lung Diseases, Obstructive', 'Actual Inability To Taste', 'Chest Pain', 'Chest tightness', 'Myalgia', 'Headache', 'Coughing', 'Back Pain', 'Exhaustion', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None, None, None, None]",[None]
110,https://patient.info//forums/discuss/positive-covid-test-scared-749831,stressed about parent in nursing home,brooklyn 56,1,55.55555556,"['Gonorrhea', 'Geroderma osteodysplastica', 'Infectious disease of lung', ""Little's Disease"", 'Fish-Eye Disease', 'Common Cold', 'Testicular regression syndrome', 'Chest Pain', 'Ache', 'Tired', 'Spasm', 'Fatigue', 'Left sided chest pain', 'Headache', 'Back Pain', 'Pain', 'Rhinorrhea', 'Actual Inability To Taste', 'Neck Pain', 'Dry cough', 'Coughing', 'Asthenia', 'Arm Pain', 'Sore to touch', None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Soaking Procedure', 'Bathing', 'Therapeutic tactile stimulation', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Osteogenesis, Distraction', None, None, None, None, None, None, None, None]",[None]
111,https://patient.info//forums/discuss/coronavirus-week-9-are-there-people-like-me--750249,working and home schooling,blueberry 14,1,55,"['Gonorrhea', 'Geroderma osteodysplastica', 'Allergic disposition', 'WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME', 'Subacute thyroiditis', ""Little's Disease"", 'Van der Woude syndrome', 'Asthma', 'Coronavirus Infections', 'Seizures', 'Abnormal heart beat', 'Chest Pain', 'Ache', 'Tired', 'Muscular stiffness', 'Weight symptom (finding)', 'Fatigue', 'Headache', 'Syncope', 'Pain', 'Mastodynia', 'Breathing abnormally deep', 'Other symptoms', 'Constipation', 'Chest tightness', 'Coughing', 'Asthenia', 'Arm Pain', 'Dyspnea', 'Sore to touch', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Application of ice packs', 'Induced abortion (procedure)', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Trans-hiatal esophagectomy', 'Calming', 'Osteogenesis, Distraction', 'Orthokeratology', None, None, None, None, None, None, None, None, None, None]",[None]
112,https://patient.info//forums/discuss/will-donating-plasma-put-me-at-risk-of-getting-covid-19-again--750761,keeping the custodial staff safe,always mom,5,254.5454545,"['Papillon-Lefevre Disease', 'Coughing', 'Dyspnea', None]","[None, None, None, None]",[None]
113,https://patient.info//forums/discuss/my-mom-and-coronavirus-750634,nutrition and exercise,cast away,13,654.1666667,"['Hypertensive disease', 'Gonorrhea', 'Geroderma osteodysplastica', 'Diabetes Mellitus', 'Lung Diseases, Obstructive', None, None, None, None]","[None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None]",[None]
114,https://patient.info//forums/discuss/covid-after-symptoms-750554,staying connected,girl mom,6,303.8461538,"['Nausea', 'Myalgia', 'Back Pain', None]","[None, None, None, None]",[None]
115,https://patient.info//forums/discuss/how-can-i-get-in-line-with-those-who-will-get-the-covid-vaccine-first--750547,creative quaratining,harbir parmar,1,53.57142857,"['Alpha trait thalassemia', 'Lung Diseases, Obstructive']","[None, None]","['Lung Diseases, Obstructive']"
116,https://patient.info//forums/discuss/covid-3rd-day-750271,maintaining progress while feeling overwhelmed,elephants rock,4,203.3333333,"['Gonorrhea', 'Geroderma osteodysplastica', 'Acute gastroenteritis', 'Disease', 'Gray Platelet Syndrome', None]","[None, None, None, None, None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
117,https://patient.info//forums/discuss/covid-19-day-9-747856,seeing or talking to doctors regularly?,shark attack56,1,53.125,"['Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Common Cold', 'Reflex Sympathetic Dystrophy', 'Actual Inability To Taste', 'Anosmia', 'Ache', 'Nasal congestion (finding)', 'Loose stool', 'Headache', 'Coughing', 'Pain', 'Asthenia', 'Dyspnea', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'doxorubicin/semustine/streptozocin protocol', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Excision of axillary lymph nodes', None, None, None, None, None]",[None]
118,https://patient.info//forums/discuss/how-long-oxygen-at-home-after-hospitalization-what-is-pulse-ox--750400,how much screen time?,guitar girl,1,52.94117647,"['Pneumonia', None]","[None, None]",[None]
119,https://patient.info//forums/discuss/day-9-so-far-so-good-750296,positive side of things?,cactus 1994,2,102.7777778,"['Neonatal hemochromatosis', 'cold symptoms', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'Coughing', None]","[None, None, None, None, None]",[None]
120,https://patient.info//forums/discuss/discomfort-in-chest-after-using-pillow-or-elevated-support-around-the-neck-1-month-since-symptoms--750308,anxiety,s kau,1,52.63157895,"['Gonorrhea', 'Geroderma osteodysplastica', 'Pharyngitis', ""Little's Disease"", 'Sore Throat', 'Asthenia', 'Chest discomfort', 'Dyspnea', None, None, None]","[None, None, None, None, None, None, None, None, '5 minutes Office visit', None, None]",[None]
121,https://patient.info//forums/discuss/strange-covid-insomnia-749816,work,maria-grazia dragonetti,4,202.5,"['Reflex Sympathetic Dystrophy', 'SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS SYNDROME', 'Chest Pain', 'Nausea', 'Fatigue', 'Has tingling sensation', 'Dry cough', 'Headache', 'Night sweats', 'Clouded consciousness', 'Dyspnea', None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, '5 minutes Office visit', 'Induced abortion (procedure)', 'Meditation Therapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Breathing Exercises', 'Excision of axillary lymph nodes', None, None, None, None]",[None]
122,https://patient.info//forums/discuss/wildly-different-recommendations-for-covid-750193,payroll,george hockey,1,52.38095238,"['Confluent and Reticulate Papillomatosis', 'Wolf-Hirschhorn Syndrome', 'Fibrillary glomerulonephritis', 'Headache', 'Coughing', 'Asthenia', None, None]","[None, None, None, None, None, None, None, None]",[None]
123,https://patient.info//forums/discuss/recent-covid-and-need-to-travel-in-a-few-weeks-750151,being pressured to work at the office,dotdot exclamationpoint,3,152.2727273,"[None, None, None]","['Modest-Temperature Hyperthermia', 'Percutaneous Coronary Intervention', 'Isolation procedure']",[None]
124,https://patient.info//forums/discuss/covid-negative-and-i-m-back-at-the-gym-but-i-went-too-hard-anyone-else-did-the-same--750126,feeling down,cr r,4,202.173913,"['Tired', None]","[None, 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
125,https://patient.info//forums/discuss/positive-covid-and-worried-about-heart-damage-750106,what do i do?,ihave aquestion,2,102.0833333,"['heart inflammation', 'Chills', None, None]","[None, None, 'Exercise Pain Management', None]",[None]
126,https://patient.info//forums/discuss/sleep-issues-with-covid-19-749676,staying positive,n u,2,102,"['Gonorrhea', 'Geroderma osteodysplastica', 'Gasping for breath', 'Nausea', 'Dyspnea', None, None]","[None, None, None, None, None, '5 minutes Office visit', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol']",[None]
127,https://patient.info//forums/discuss/coronervirus-749970,can time fly by?,summer girl20,6,301.9230769,"['Pharyngitis', 'Catch - Finding of sensory dimension of pain', 'Sore Throat', 'Burning sensation', 'feeling dizzy', None, None]","[None, None, None, None, None, None, None]",[None]
128,https://patient.info//forums/discuss/3-months-on-dizziness-headaches-and-clogged-up-742156,neighbours not isolating,the dude abides,3,151.8518519,"['flu symptoms', 'furuncle', 'Pharyngitis', 'Common Cold', 'Anosmia', 'Chest tightness', 'Fatigue', 'Dizziness', 'Vertigo', 'Sore Throat', 'Headache', 'Coughing', 'Pain', 'Lightheadedness', 'Sleeplessness', None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Drainage procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', None, None, None, None, None]",[None]
129,https://patient.info//forums/discuss/face-masks-don-t-fit--744380,having to stay home,mya mya,1,51.78571429,"['Coronavirus Infections', 'Seizures', None, None, None, None, None, None]","[None, None, 'Stretching exercises', 'HAC protocol', None, None, None, None]",[None]
130,https://patient.info//forums/discuss/covid-chest-flutters-and-anxiety--749854,how long will this go on for?,pauly p,9,451.7241379,"['Pain', None, None, None]","[None, 'Modest-Temperature Hyperthermia', None, None]",[None]
131,https://patient.info//forums/discuss/exposure-to-covid-19-isolating-at-home-749944,great time for deep reflections!~,gary goodwin,7,351.6666667,"['Gonorrhea', 'Geroderma osteodysplastica', None, None]","[None, None, 'bleomycin/methotrexate/vincristine protocol', None]",[None]
132,https://patient.info//forums/discuss/negative-covid-pcr-twice-but-severe-symptoms-and-bad-blood-test-749865,"i need help, i have no supports",cactus 1994,4,201.6129032,"[None, None, None]","['Percutaneous Coronary Intervention', None, None]",[None]
133,https://patient.info//forums/discuss/covid-symptoms-or-anxiety--747277,higher risk = higher panic,ethel luna,1,51.5625,"['Common Cold', 'Anosmia', 'taste sweet', 'Headache', 'Muscle Cramp', 'Pain', 'Abdominal discomfort', None, None, None, None]","[None, None, None, None, None, None, None, 'Modest-Temperature Hyperthermia', 'Sterilization for infection control', None, None]",[None]
